type,style,source,name,prompt
AI,illustration,ai-art,1.jpg,https://x.com/Tungskenichi/status/2018310771554623589/photo/1
AI,photograph,ai-art,2.jpg,https://x.com/yuu_photo22/status/2011595227593941442/photo/1
AI,cartoon,ai-art,3.jpg,https://x.com/mugi_AI_Art/status/2019984470741258566/photo/1
AI,cartoon,ai-art,4.jpg,https://x.com/AIart4696/status/2020789245133135911/photo/1
AI,illustration,ai-art,5.jpg,https://x.com/Shin_AI_Design/status/2019843890233393316/photo/1
AI,photograph,ai-art,6.jpg,https://x.com/coer_13/status/2020380196780798423/photo/1
AI,illustration,midjourney,7.png,"Hand-drawn charcoal illustration of an elderly craftsman at work, high contrast, expressive strokes, vintage vibe."
AI,photograph,midjourney,8.png,"guy's portrait, 35mm."
AI,cartoon,midjourney,9.png,"A cute 3D stylized wizard with a large floppy hat and a glowing crystal staff, Disney-Pixar style, rendered in Octane, highly detailed fabric textures."
AI,photograph,midjourney,10.png,"Candid street portrait of a man, 35mm film style --ar 1:1"
AI,illustration,midjourney,11.png,"many people walking on street, fully detailed,  illustration"
AI,illustration,midjourney,12.png,"Old man reading a book, storybook illustration style"
AI,photograph,midjourney,13.png,"Fashion model in city light, high contrast --ar 2:3"
AI,illustration,nanobanana,14.png,"A young girl reading a book under a tree, flat design, soft pastel colors."
AI,photograph,nanobanana,15.png,"a smiling woman in a room, soft natural morning light, took by mobile phone, cozy, 9:16"
AI,illustration,nanobanana,16.png,"Portrait of a woman wearing a veil made of complex lace patterns, shadows of the lace falling on her face,illustration --ar 9:16"
AI,photograph,nanobanana,17.png,"Children are playing in a garden,16:9 vertical ratio."
AI,cartoon,nanobanana,18.png,A anime character standing in rain with his profile 1:1
AI,photograph,nanobanana,19.png,"A man eating a hamburger with both hands in home, messy background, 4:3 ratio."
AI,illustration,nanobanana,20.png,"A boy playing a complex flute with finger holes, watercolor style, soft edges --ar 16:9"
REAL,illustration,camera,1.jpg,https://cara.app/post/873af995-344f-475e-ae26-46f42485683a
REAL,photograph,camera,2.jpg,https://live.staticflickr.com/65535/54638744644_61b44bfbef_k.jpg
REAL,cartoon,camera,3.png,https://cara.app/post/b15ab578-408b-4850-8b91-421e7951cf49
REAL,photograph,camera,4.jpg,https://www.flickr.com/photos/202308436@N03/55065803277/in/pool-global_photojournalism_news_protest_and_culture/
REAL,illustration,camera,5.jpg,https://cara.app/post/5dde67b5-94ce-4930-b5ba-00e9b59934a3
REAL,photograph,camera,6.jpg,https://www.flickr.com/photos/djgreer/44142219090/in/pool-travel-photography/
REAL,illustration,website,7.jpg,https://cara.app/post/6fe20925-db3e-409f-8273-1d7b44deea63
REAL,photograph,website,8.webp,https://www.dvidshub.net/image/9510114/mountain-biking-agonikak-national-recreation-trail
REAL,illustration,website,9.jpg,https://cara.app/post/a4b3be24-4327-43f3-9dab-def8e71d9064
REAL,illustration,website,10.jpg,https://cara.app/post/0edbc8b5-93f8-40e9-aa2d-d43c4f956fa6
REAL,photograph,website,11.jpg,https://unsplash.com/photos/people-walk-past-a-tram-in-a-city-YbDxbzMHKLo
REAL,photograph,website,12.jpg,https://www.magnumphotos.com/theory-and-practice/the-importance-of-visual-literacy/?_gl=1*okb0nf*_up*MQ..*_ga*MTcxMTQ2NTc3NC4xNzcwNjQ0NzAx*_ga_50D0ZG80LT*czE3NzA2NDQ2OTkkbzEkZzAkdDE3NzA2NDQ2OTkkajYwJGwwJGgxNDUyNjM5NjU5*_ga_Y4MWFWT6P9*czE3NzA2NDQ3MDAkbzEkZzAkdDE3NzA2NDQ3MDAkajYwJGwwJGgw
REAL,illustration,website,13.jpg,https://cara.app/post/e1e13344-eb40-41cc-a58e-d40da2240081
REAL,cartoon,website,14.jpg,https://cara.app/post/a7d60e01-8d15-4375-aeee-2e1d7b0b0c85
REAL,illustration,website,15.png,https://cara.app/post/a7120ece-daa0-44fb-8c60-7d5a897bdfaf
REAL,photograph,website,16.jpg,https://www.flickr.com/photos/121092153@N04/49717345831/in/pool-onthestreet/
REAL,illustration,website,17.png,https://cara.app/post/16d18b71-74f9-4f5c-b298-a6d60c023435
REAL,photograph,website,18.jpg,https://www.magnumphotos.com/theory-and-practice/the-importance-of-visual-literacy/?_gl=1*okb0nf*_up*MQ..*_ga*MTcxMTQ2NTc3NC4xNzcwNjQ0NzAx*_ga_50D0ZG80LT*czE3NzA2NDQ2OTkkbzEkZzAkdDE3NzA2NDQ2OTkkajYwJGwwJGgxNDUyNjM5NjU5*_ga_Y4MWFWT6P9*czE3NzA2NDQ3MDAkbzEkZzAkdDE3NzA2NDQ3MDAkajYwJGwwJGgw
REAL,illustration,website,19.jpg,https://cara.app/post/3a864cf5-1f96-4d9b-b34b-e04c9fba50a3
REAL,cartoon,website,20.png,https://cara.app/post/9e7ab388-df96-4aee-9115-8f3f3291ba10
