image_id,category,n_responses,n_correct,accuracy,accuracy_pct,difficulty
ai_05,AI,1,1,1.0,100.0,too_easy
ai_06,AI,15,15,1.0,100.0,too_easy
ai_07,AI,1,1,1.0,100.0,too_easy
ai_10,AI,1,1,1.0,100.0,too_easy
ai_12,AI,1,1,1.0,100.0,too_easy
ai_14,AI,1,1,1.0,100.0,too_easy
ai_17,AI,1,1,1.0,100.0,too_easy
ai_18,AI,15,15,1.0,100.0,too_easy
ai_20,AI,1,1,1.0,100.0,too_easy
ai_04,AI,15,14,0.9333333333333333,93.3,too_easy
ai_09,AI,15,14,0.9333333333333333,93.3,too_easy
ai_11,AI,15,14,0.9333333333333333,93.3,too_easy
ai_01,AI,15,12,0.8,80.0,moderate
ai_19,AI,15,10,0.6666666666666666,66.7,moderate
ai_13,AI,15,9,0.6,60.0,moderate
ai_02,AI,15,7,0.4666666666666667,46.7,moderate
ai_08,AI,15,6,0.4,40.0,moderate
ai_15,AI,15,6,0.4,40.0,moderate
ai_16,AI,15,6,0.4,40.0,moderate
ai_03,AI,1,0,0.0,0.0,too_hard
real_07,Real,1,1,1.0,100.0,too_easy
real_09,Real,1,1,1.0,100.0,too_easy
real_13,Real,1,1,1.0,100.0,too_easy
real_18,Real,1,1,1.0,100.0,too_easy
real_16,Real,15,14,0.9333333333333333,93.3,too_easy
real_06,Real,15,13,0.8666666666666667,86.7,too_easy
real_12,Real,15,13,0.8666666666666667,86.7,too_easy
real_02,Real,15,12,0.8,80.0,moderate
real_11,Real,15,11,0.7333333333333333,73.3,moderate
real_03,Real,15,10,0.6666666666666666,66.7,moderate
real_04,Real,15,10,0.6666666666666666,66.7,moderate
real_20,Real,15,9,0.6,60.0,moderate
real_01,Real,15,7,0.4666666666666667,46.7,moderate
real_05,Real,15,7,0.4666666666666667,46.7,moderate
real_14,Real,15,6,0.4,40.0,moderate
real_15,Real,15,5,0.3333333333333333,33.3,moderate
real_08,Real,1,0,0.0,0.0,too_hard
real_10,Real,1,0,0.0,0.0,too_hard
real_17,Real,1,0,0.0,0.0,too_hard
real_19,Real,1,0,0.0,0.0,too_hard
