participant_id,组别,AI熟悉度(1-5),AI工具使用(0/1),综合素养分(z),正确率
68a26c20-d416-4fb1-9a6e-1c8147b9025d,A,5,1.0,0.952,0.952
1d4f54e4-16a4-4d27-a651-2abf2087e42d,A,4,1.0,0.488,0.857
b1ae4b31-7866-444a-8d59-c3310d967d7d,A,5,0.0,-0.414,0.857
315a452a-fc42-496a-be60-ab9a20b4893b,A,3,1.0,0.025,0.81
56dc546a-a002-4cab-a548-8d8c8a24ca70,A,2,1.0,-0.439,0.81
da53cc4c-0dac-44ec-8ee9-5bfd3f6cc094,A,3,1.0,0.025,0.81
50da05a7-4a60-4c9d-a069-f350457f0c3f,A,4,1.0,0.488,0.762
6daa33aa-d79f-4878-9fb7-85b45d71f146,A,4,1.0,0.488,0.762
7a150c25-4f31-47a6-a712-dd5a1078ee15,A,5,1.0,0.952,0.714
9fc0a60e-aa1c-4cab-94f7-0bcd13b5dbf7,A,4,1.0,0.488,0.714
a207ab51-5f6d-4123-9d8c-43052fff37eb,A,3,1.0,0.025,0.714
b6614348-02eb-4b0c-8aba-cf011a2da55f,A,5,0.0,-0.414,0.714
c0ca47a7-a615-4706-a662-a44c6ef9c7da,A,3,1.0,0.025,0.714
c76d0ddb-18f0-4cb3-973f-15bc63de5f98,A,5,1.0,0.952,0.714
d18d0a88-3bc3-4984-9ef3-df1a04bd9d05,A,3,1.0,0.025,0.714
0279953e-4ca2-45e2-a4f3-39ffdffe0dd0,A,4,1.0,0.488,0.667
11d78bc7-04c6-48a0-b2c8-79a457cbc49d,A,5,0.0,-0.414,0.667
81642ecd-aa3f-47b2-a21b-a87dab1197ef,A,2,0.0,-1.805,0.667
b4a0305b-b2de-4bc8-be9c-c9ca9b85f025,A,4,1.0,0.488,0.667
fa154827-8602-4668-8cc5-11d7cc80b637,A,3,1.0,0.025,0.667
054510ca-3eec-4fe6-8afa-226ab68b725c,A,4,1.0,0.488,0.619
3eff7f85-aae3-4127-a9db-c3f876c6c9e9,A,5,1.0,0.952,0.619
72616102-b106-4168-a359-c28aeddf3d46,A,2,0.0,-1.805,0.619
833b08c0-b7cf-4249-b2cb-a73bdd0b1f48,A,5,1.0,0.952,0.619
871a04a1-d2e3-48a9-96dc-fdf93b7634bd,A,3,1.0,0.025,0.619
8f21d525-c20e-4516-a80c-a6efc857158e,A,3,0.0,-1.341,0.619
f5231de7-3c41-4203-bccd-c96f36a3c1d3,A,2,1.0,-0.439,0.619
f81e4f4f-f380-4e32-b4af-a2d45b818d64,A,4,1.0,0.488,0.619
ff15d97a-a13c-4097-8220-1796eca4971f,A,4,1.0,0.488,0.619
018b6e1e-f0ef-4e47-b67a-6e3efaebcfa8,A,3,1.0,0.025,0.571
1f9cdaee-12e7-42bd-9298-eacdbbc99c6e,A,4,1.0,0.488,0.571
7cb1cf01-684b-4f4e-934d-42d2d8494a9a,A,4,1.0,0.488,0.571
e0ec20b4-c1ce-4a49-b377-7ca102330663,A,3,1.0,0.025,0.571
07c55c92-f08b-408a-b499-3679bab4bece,A,2,1.0,-0.439,0.524
10d10ab0-e2fb-4024-b682-95b4f6adc9c0,A,2,1.0,-0.439,0.524
93f6a902-848f-4e65-80a7-23f7c5be1345,A,2,1.0,-0.439,0.524
9fba2754-b9e8-43f7-b4d8-77f6d9656eb3,A,4,1.0,0.488,0.524
b0f4f54b-66bd-4eac-b786-ac2d4a6740e7,A,1,0.0,-2.269,0.524
d2dee2f5-9b42-4bd9-bcae-3f7dc5f60fa7,A,2,1.0,-0.439,0.524
e65bf539-6dee-4810-b746-0dc326cff7dc,A,3,1.0,0.025,0.524
35ad47e4-ed54-4633-8d71-a683a1f1117d,A,4,1.0,0.488,0.476
49b70791-365c-4f01-8a9e-5f6aef742c47,A,4,1.0,0.488,0.476
a0fd334a-554a-4e69-a6db-6f1e8586ca5f,A,4,1.0,0.488,0.476
3def5a46-c3db-468c-b76f-f5e2d38fc8dd,A,2,1.0,-0.439,0.429
c8404013-34b4-433d-97d6-511b017b51c2,A,2,0.0,-1.805,0.429
3670aa0d-11f6-436d-bd33-5597d7481884,A,2,0.0,-1.805,0.381
7c60fb83-1002-4feb-8162-fcbccae202c8,A,4,0.0,-0.878,0.381
8fe7bbf2-49ec-4bd7-bf6f-3466f6e514dd,A,4,1.0,0.488,0.381
157cab83-abab-46ff-9516-917037893b60,A,1,0.0,-2.269,0.286
b4033051-7aa8-4633-ba36-f1f34b4a84a2,A,2,1.0,-0.439,0.286
c980770c-4c59-455e-9aec-f91b0d047bee,A,3,1.0,0.025,0.286
bf33a642-b7f0-403a-89bb-8e52e265f398,A,2,1.0,-0.439,0.238
f87c17b4-0b13-40ce-8bba-11e92860d635,C,5,1.0,0.952,0.952
201d045f-2007-4b17-864f-2fc59f08fc2e,C,4,1.0,0.488,0.905
73a837cd-78b8-45fd-b285-a4a6cea03f24,C,3,1.0,0.025,0.905
dc165136-ff71-4ab3-8e4b-5afe4edf0d1b,C,2,1.0,-0.439,0.905
57f65c7d-2a56-40e0-8c5c-4cfc03b81ddc,C,4,1.0,0.488,0.857
5f19ca96-956b-42ac-811a-73411f258cd0,C,5,1.0,0.952,0.857
eb245518-0398-4285-8a09-bd9da0a7ef2a,C,4,1.0,0.488,0.857
0db24881-938d-4dc8-bcdc-00ffc17310aa,C,1,1.0,-0.902,0.81
70d96c86-c17b-45aa-9c25-d845eecf5473,C,4,1.0,0.488,0.81
b8bfcd44-a74e-44cc-a1bc-f43e2dd77f50,C,3,0.0,-1.341,0.81
bf6b76da-b022-4388-a496-7e9e99e83375,C,3,0.0,-1.341,0.81
f5b2e6dd-1c52-4d12-a6ec-351ddb62d281,C,3,0.0,-1.341,0.81
41f33051-ca0e-4a1f-ad50-d8e3a564df25,C,3,1.0,0.025,0.762
4a56e17e-344c-4772-8201-8d2a699b8a61,C,4,1.0,0.488,0.762
7bdd05f3-157f-460a-9fa7-78218f38e94a,C,4,1.0,0.488,0.762
d17ffa1d-c836-42b8-8919-74166c3efa7c,C,4,1.0,0.488,0.762
e2e07f1d-8179-4412-945a-b10e3aea8e2a,C,5,1.0,0.952,0.762
f9cd2c98-bfc8-4c5b-979c-6b25f6a83a31,C,3,1.0,0.025,0.762
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,C,4,1.0,0.488,0.714
10d8137d-a2b4-4482-9378-b1a9c51a5150,C,4,1.0,0.488,0.714
63f825fa-f48f-444d-b333-927d4b6de564,C,3,1.0,0.025,0.714
a1bfbe83-787b-4243-beb4-62adbc16d687,C,3,1.0,0.025,0.714
ca03e257-2731-4073-8823-9e6be74b2ce3,C,4,0.0,-0.878,0.714
d219bf21-7f1e-4904-b109-7badc8b124f8,C,4,1.0,0.488,0.714
e44199cc-0b6c-4b1c-b7b2-c99999aee34b,C,4,1.0,0.488,0.714
e8315818-d6fe-429f-997f-c8b93ebaae94,C,4,1.0,0.488,0.714
f3dcf613-ca02-4ab6-9062-b3d656bdca0a,C,5,1.0,0.952,0.714
7db1f37f-1edf-450d-b5b2-85fa3cd1d4ff,C,0,0.0,-2.732,0.703
2a30e96f-01dc-4229-b465-2ad5b73b38a1,C,4,1.0,0.488,0.667
572cc315-3457-446d-9de2-5477fb08fd31,C,3,1.0,0.025,0.667
3186a99e-25c2-42bb-94a6-4ef2758e4c99,C,3,1.0,0.025,0.619
662e6bd0-995a-4088-ad99-e85ae76fe58a,C,3,1.0,0.025,0.619
8eff7806-5802-4e73-9c65-83d7084a914f,C,1,1.0,-0.902,0.619
93a06e6f-5a94-453a-bea6-f13a2dcecd93,C,5,1.0,0.952,0.619
a56e4b61-832a-4945-bab5-456044fa33e4,C,4,1.0,0.488,0.619
ca4a5371-94cb-4af0-82a0-6d28ff180026,C,2,1.0,-0.439,0.619
060b4321-f0e5-437e-92ba-bde0447825f6,C,4,1.0,0.488,0.571
1eeb3139-42eb-48e4-b1ec-b01dc9e6d384,C,4,1.0,0.488,0.571
31700d1b-9dea-42f9-ac04-cbbba4bf9d45,C,3,1.0,0.025,0.571
443e8258-0906-476e-83f3-794ca9a421fa,C,4,1.0,0.488,0.571
59e8a63d-55f7-4a74-a414-9d242a76b6da,C,3,1.0,0.025,0.571
82f76de8-4a50-4bde-9eb9-2753908075e0,C,5,1.0,0.952,0.571
d038fdf4-a659-4a48-8452-41259974b3ff,C,4,1.0,0.488,0.571
e44be372-e609-4c27-964b-36d0bc2010bc,C,2,1.0,-0.439,0.571
0c687978-2cd5-438a-a7b4-ea279c3036a6,C,4,1.0,0.488,0.524
0f0cda5d-d4fa-40be-9178-1e8a2c6495e1,C,3,0.0,-1.341,0.524
bd1d97a3-3e79-471f-bfdc-aebc4284735d,C,4,1.0,0.488,0.524
0d667e6c-ae9c-441e-b61a-5e454093bcd9,C,4,1.0,0.488,0.476
dcec668c-29d4-4db5-9198-c4ea1a30e1b3,C,4,1.0,0.488,0.476
3412da42-8d1d-46b7-8555-fcc9fb5a0973,C,3,1.0,0.025,0.429
982acd14-8270-4768-8d63-abe8bd5315ba,C,2,1.0,-0.439,0.429
9e2c9877-ed64-431b-9516-8e3c2f8baf07,C,4,1.0,0.488,0.429
54ba9906-0213-4277-b841-ca391c6f6252,C,4,1.0,0.488,0.381
8fc68597-ebe8-413c-bf64-2ba579dd1fd4,C,4,1.0,0.488,0.381
eb3dd866-661a-490b-b487-cb0906195fe6,C,4,1.0,0.488,0.381
376d22d5-c528-459d-9227-b3abacbece81,C,2,1.0,-0.439,0.333
