变量,B,SE,Beta,t,p,VIF
(常量),-0.480,0.341,,-1.410,.161,
组别（C=1）,0.380,0.139,0.223,2.737,.007**,1.094
性别（女=1）,-0.118,0.138,,-0.858,.393,1.077
年龄 25-34（vs 18-24）,0.099,0.162,,0.611,.542,1.234
年龄 35-44（vs 18-24）,-0.158,0.275,,-0.575,.566,1.155
年龄 45-54（vs 18-24）,-0.035,0.208,,-0.168,.867,1.306
学历 高中（vs 本科）,0.205,0.267,,0.768,.444,1.182
学历 大专（vs 本科）,0.067,0.209,,0.320,.749,1.360
学历 硕士（vs 本科）,0.168,0.168,,0.997,.320,1.325
学历 博士（vs 本科）,0.423,0.267,,1.585,.115,1.178
AI使用频率（1-5）,0.108,0.064,0.139,1.687,.094,1.123
前测自评能力（1-5）,0.105,0.074,0.142,1.434,.154,1.625
ai_familiarity,0.078,0.082,0.094,0.949,.345,1.608
