子群,n,B,t,p,Chow检验
性别：男,79,0.096,2.968,.004**,"F=1.014, *p*=.365"
性别：女,73,0.060,1.573,.120,
*— 年龄 —*,,,,,
年龄：≤34,117,0.085,3.083,.003**,"F=1.112, *p*=.331"
年龄：≥35,35,0.022,0.379,.707,
*— 学历（低 vs 中） —*,,,,,
学历：低（高中/大专）,35,0.053,1.256,.218,"F=0.130, *p*=.878"
学历：中（本科）,57,0.044,0.995,.324,
*— 学历（中 vs 高） —*,,,,,
学历：中（本科）,57,0.044,0.995,.324,"F=2.324, *p*=.103"
学历：高（硕博）,60,0.106,2.725,.008**,
*— AI使用频率 —*,,,,,
AI频率：低,79,0.043,1.322,.190,"F=4.876, *p*=.009**"
AI频率：高,73,0.110,3.097,.003**,
*— 前测自评能力 —*,,,,,
前测自评：低（1–2）,52,0.091,2.173,.035*,"F=2.900, *p*=.058"
前测自评：高（3–5）,100,0.054,1.760,.082,
